Content,English,,Español,,
S1 - Personal Information - Title,Check if your child needs to apply for DC SUN Bucks,Check if your child needs to apply for Summer EBT,Compruebe si su hijo(a) necesita solicitar beneficios de DC SUN Bucks,Comprueba si tu hijo(a) necesita aplicar para recibir los beneficios de Summer EBT,
S1 - Personal Information - Body,Please provide your student's information in the required fields below. This tool will check if your child is automatically enrolled to receive benefits.,Please provide your student's information in the required fields below. This tool will check if your child is automatically enrolled to receive benefits.,Proporciona la información de su estudiante en los campos obligatorios a continuación. Esta herramienta comprobará si su hijo(a) queda inscrito de forma automática para recibir beneficios.,Proporciona la información de tu estudiante en los campos obligatorios. Esta herramienta comprobará si tu hijo(a) queda inscrito de forma automática para recibir los beneficios.,
S1 - Personal Information - Label Birthdate,Birthdate,Birthdate,Fecha de nacimiento,Fecha de nacimiento,
S1 - Personal Information - Label Month,Month,Month,Mes,Mes,
S1 - Personal Information - Label Day,Day,Day,Día,Día,
S1 - Personal Information - Label Year,Year,Year,Año,Año,
S1 - Confirm Personal Information - Title,Here's the information we have so far,Here's the information we have so far,Aquí está la información que tenemos hasta ahora,Aquí está la información que tenemos hasta ahora,
S1 - Confirm Personal Information - Body,"Review your child(ren)'s information below. You may add another child to see if they need to apply, too. Tap ""Submit"" if you've finished adding children.","Review your child(ren)'s information below. You may add another child to see if they need to apply, too. Tap ""Submit"" if you've finished adding children.","Revisa la información de tu(s) hijo(s) a continuación. Puedes agregar otro hijo para ver si también debe aplicar. Toqua ""Enviar"" si ya terminaste de agregar a tus hijos.","Revisa la información de tu(s) hijo(s) a continuación. Puedes agregar otro hijo para ver si también debe aplicar. Toqua ""Enviar"" si ya terminaste de agregar a tus hijos.",
S1 - Confirm Personal Information - Table Name Heading,Name,Name,Nombre,Nombre,
S1 - Confirm Personal Information - Table Name Value,[First name] [M.] [Last name],[First name] [M.] [Last name],[Nombre] [Inicial del segundo nombre] [Apellido],[Nombre] [Inicial del segundo nombre] [Apellido],
S1 - Confirm Personal Information - Table Birthdate Heading,Birthdate,Birthdate,Fecha de nacimiento,Fecha de nacimiento,
S1 - Confirm Personal Information - Table Birthdate Value,"[Month], [Day] [Year]","[Month], [Day] [Year]","[Mes], [Día] [Año]","[Mes], [Día] [Año]",
S1 - Confirm Personal Information - Table Action,Update this child's information,Update this child's information,Actualizar la información de este menor,Actualizar la información de este menor,
S1 - Confirm Personal Information - Action Add,Add another child,Add another child,Agregar otro niño,Agregar otro niño,
S1 - Optional ID Information - Title,We checked our records and need more information to see if this child can get DC SUN Bucks,We checked our records and need more information to see if this child can get Summer EBT,Revisamos nuestros registros y necesitamos más información para ver si este niño puede recibir DC SUN Bucks,Revisamos nuestros registros y necesitamos más información para ver si este niño puede recibir Summer EBT,
S1 - Optional ID Information - Body,"We suggest providing any of the child's Student ID, SNAP, TANF, or Medicaid number if you have them. We can give you a better answer about whether they are pre-approved.","We suggest providing any of the child's Student ID, SNAP, Colorado Works (TANF), or Medicaid number if you have them. We can give you a better answer about whether they are pre-approved.","Sugerimos que proporciones el número de identificación estudiantil, SNAP, TANF o Medicaid del niño, si los tienes. Así podemos darte una mejor respuesta sobre si ya están preaprobados.","Sugerimos que proporciones el número de identificación estudiantil, SNAP, Colorado Works (TANF) o Medicaid del niño, si los tienes. Así podemos darte una mejor respuesta sobre si ya están preaprobados.",
S1 - Optional ID Information - Label Which ID,Which ID number can you provide? *,Which ID number can you provide? *,¿Cuál número de identificación puedes proporcionar? *,¿Cuál número de identificación puedes proporcionar? *,
S1 - Optional ID Information - Option Student ID,Unique Student ID,Unique Student ID,Identificación de estudiante única,Identificación de estudiante única,
S1 - Optional ID Information - Option Helper Student ID,This number is the Universal Student ID Number for your child.,This number is the Universal Student ID Number for your child.,Este es el número de identificación universal de estudiante de su hijo(a).,Este es el número de identificación universal de estudiante de tu hijo(a).,
S1 - Optional ID Information - Option Medicaid ID,Medicaid identification number (CIN / I-CIN),Medicaid identification number (CIN / I-CIN),Número de identificación de Medicaid (CIN / I-CIN),Número de identificación de Medicaid (CIN / I-CIN),
S1 - Optional ID Information - Option Helper Medicaid ID,This number can be found on your child's Medicaid program notices and is typically 7 or 8 digits long.,This number can be found on your child's Medicaid program notices and is typically 7 or 8 digits long.,Este número se puede encontrar en los avisos del programa Medicaid de su hijo(a) y suele tener entre 7 y 8 dígitos.,Este número se puede encontrar en los avisos del programa Medicaid de tu hijo(a) y suele tener entre 7 y 8 dígitos.,
S1 - Optional ID Information - Option SNAP Case Number,SNAP case number,SNAP case number,Número de caso de SNAP,Número de caso de SNAP,
S1 - Optional ID Information - Option Helper SNAP Case Number,This number can be found on your child's SNAP program notices and is typically 7 or 8 digits long.,This number can be found on your child's SNAP program notices and is typically 7 or 8 digits long.,Este número se puede encontrar en los avisos del programa SNAP de su hijo(a) y suele tener 7 u 8 dígitos.,Este número se puede encontrar en los avisos del programa SNAP de tu hijo(a) y suele tener 7 u 8 dígitos.,
S1 - Optional ID Information - Option TANF ID,TANF identification number,Colorado Works (TANF) identification number,Número de identificación de TANF,Número de identificación de Colorado Works (TANF),
S1 - Optional ID Information - Option Helper TANF ID,This number can be found on your child's TANF program notices and is typically 7 or 8 digits long.,This number can be found on your child's Colorado Works (TANF) program notices and is typically 7 or 8 digits long.,Este número se puede encontrar en los avisos del programa TANF de su hijo(a) y suele tener 7 u 8 dígitos.,Este número se puede encontrar en los avisos del programa Colorado Works (TANF) de tu hijo(a) y suele tener 7 u 8 dígitos.,
S1 - Optional ID Information - Label Enter Student ID,Enter their Unique Student ID,Enter their Unique Student ID,Ingresa su ID de estudiante único,Ingrese su ID de estudiante único,
S1 - Optional ID Information - Label Enter Medicaid ID,Enter their Medicaid identification number (CIN / I-CIN),Enter their Medicaid identification number (CIN / I-CIN),Ingresa su número de identificación de Medicaid (CIN / I-CIN),Ingrese su número de identificación de Medicaid (CIN / I-CIN),
S1 - Optional ID Information - Label Enter SNAP Case Number,Enter their SNAP case number,Enter their SNAP case number,Ingresa su número de caso SNAP,Ingrese su número de caso SNAP,
S1 - Optional ID Information - Label Enter TANF ID,Enter their TANF identification number,Enter their Colorado Works (TANF) identification number,Ingresa su número de identificación TANF,Ingrese su número de identificación Colorado Works (TANF),
S1 - Optional ID Information - Alert Action Log Into Portal,Contact us if you can't provide any of the suggested ID numbers.,Contact us if you can't provide any of the suggested ID numbers.,Contáctanos si no puedes proporcionar ninguno de los números de identificación sugeridos.,Contáctenos si no puede proporcionar ninguno de los números de identificación sugeridos.,
S1 - Result - Title,Here's the information we found,Here's the information we found,Aquí está la información que encontramos,Aquí está la información que encontramos,
S1 - Result - Apply for SEBT - Title,We recommend that you fill out an application for this child,We recommend that you fill out an application for this child,"Para ayudarnos a decidir, te recomendamos que completes una solicitud para este menor","Para ayudarnos a decidir, te recomendamos que completes una solicitud para este menor",
S1 - Result - Apply for SEBT - Body,"Children may not be automatically enrolled because we do not have enough information to confirm their eligibility. But, they may still be eligible.","Children may not be automatically enrolled because we do not have enough information to confirm their eligibility. But, they may still be eligible.","A veces los niños no se inscriben automáticamente porque no tenemos toda la información necesaria para ver si pueden participar. Sin embargo, igual podrían calificar.","A veces los niños no se inscriben automáticamente porque no tenemos toda la información necesaria para ver si pueden participar. Sin embargo, igual podrían calificar.",
S1 - Result - Apply for SEBT - Body 1,The following children *may not be automatically enrolled*.,The following children *may not be automatically enrolled*.,Es posible que los siguientes menores *no estén inscritos automáticamente*.,Es posible que los siguientes menores *no estén inscritos automáticamente*.,
S1 - Result - Apply for SEBT - Action Apply,We recommend submitting a DC SUN Bucks application for them,We recommend submitting a Summer EBT application for them,Recomendamos presentar una solicitud de DC SUN Bucks para ellos,Recomendamos presentar una solicitud de Summer EBT para ellos,
S1 - Result - Apply for SEBT - Body 2,"Children may not be automatically enrolled because we do not have enough information to determine their eligibility. However, they may still be eligible.","Children may not be automatically enrolled because we do not have enough information to determine their eligibility. However, they may still be eligible.","Es posible que los menores no estén inscritos automáticamente porque no tenemos suficiente información para determinar su elegibilidad. Sin embargo, aún podrían ser elegibles.","Es posible que los menores no estén inscritos automáticamente porque no tenemos suficiente información para determinar su elegibilidad. Sin embargo, aún podrían ser elegibles.",
