S1 - Personal Information - Title,Check if your child is already enrolled in Summer EBT,Check if your child needs to apply for Summer EBT,Comprueba si tu hijo(a) necesita aplicar para recibir los beneficios de Summer EBT,Comprueba si tu hijo(a) necesita aplicar para recibir los beneficios de Summer EBT,"Keeping ""auto-enrolled"" in English keeping it as a more descriptive heading ""needs to apply"" in Spanish"
S1 - Personal Information - Body,Please provide your student's information in the required fields below. This tool will check if your child is automatically enrolled to receive benefits.,Please provide your student's information in the required fields below. This tool will check if your child is automatically enrolled to receive benefits.,Proporciona la información de tu estudiante en los campos obligatorios. Esta herramienta comprobará si tu hijo(a) necesita aplicar para recibir los beneficios.,Proporciona la información de tu estudiante en los campos obligatorios. Esta herramienta comprobará si tu hijo(a) queda inscrito de forma automática para recibir los beneficios.,
S1 - Personal Information - Label Birthdate,Birthdate,Birthdate,Fecha de nacimiento,Fecha de nacimiento,
S1 - Personal Information - Label Month,Month,Month,Mes,Mes,
S1 - Personal Information - Label Day,Day,Day,Día,Día,
S1 - Personal Information - Label Year,Year,Year,Año,Año,
S1 - Confirm Personal Information - Title,Here's the information we have so far,Here's the information we have so far,Aquí está la información que tenemos hasta ahora.,Aquí está la información que tenemos hasta ahora,
S1 - Confirm Personal Information - Body,"Review your child(ren)'s information below. You may add another child to see if they need to apply, too. Tap ""Submit"" if you've finished adding children.","Review your child(ren)'s information below. You may add another child to see if they need to apply, too. Tap ""Submit"" if you've finished adding children.","Revisa la información de tu(s) hijo(s) a continuación. Puedes agregar otro hijo para ver si también debe aplicar. Toqua ""Enviar"" si ya terminaste de agregar a tus hijos.","Revisa la información de tu(s) hijo(s) a continuación. Puedes agregar otro hijo para ver si también debe aplicar. Toqua ""Enviar"" si ya terminaste de agregar a tus hijos.",
S1 - Confirm Personal Information - Table Name Heading,Name,Name,Nombre,Nombre,
S1 - Confirm Personal Information - Table Name Value,[First name] [M.] [Last name],[First name] [M.] [Last name],[Nombre] [Inicial del segundo nombre] [Apellido],[Nombre] [Inicial del segundo nombre] [Apellido],
S1 - Confirm Personal Information - Table Birthdate Heading,Birthdate,Birthdate,Fecha de nacimiento,Fecha de nacimiento,
S1 - Confirm Personal Information - Table Birthdate Value,"[Month], [Day] [Year]","[Month], [Day] [Year]",[día] de [mes] de [año],[día] de [mes] de [año],
S1 - Confirm Personal Information - Table Action,Update this child's information,Update this child's information,Actualizar la información de este menor,Actualizar la información de este menor,
S1 - Confirm Personal Information - Action Add,Add another child,Add another child,Agreguar otro niño,Agregar otro niño,
